"","Codes","Description","unit","Periodicity","start","last.value","source"
"30","ST_162003","123 - ESQUADRIAS DE ALUM?NIO","indice","M","01/04/1986","12/01/2015","FGV|IBRE"
"31","ST_162011","129 - M?RMORE E GRANITO TRABALHADOS","indice","M","01/04/1986","12/01/2015","FGV|IBRE"
"32","ST_162021","132 - METAIS PARA INSTALA??ES HIDR?ULICAS","indice","M","01/04/1986","12/01/2015","FGV|IBRE"
"33","ST_162038","154 - TUBOS E CONEX?ES DE PVC","indice","M","01/04/1986","12/01/2015","FGV|IBRE"
"34","ST_162046","116 - ELEVADOR","indice","M","01/04/1986","12/01/2015","FGV|IBRE"
"35","ST_162054","118 - FERRAGENS PARA ESQUADRIAS","indice","M","01/04/1986","12/01/2015","FGV|IBRE"
"36","ST_162062","112 - COMPENSADOS","indice","M","01/04/1986","12/01/2015","FGV|IBRE"
"37","ST_162089","119 - CONDUTORES EL?TRICOS","indice","M","01/04/1986","12/01/2015","FGV|IBRE"
"38","ST_162097","103 - ALUGUEL DE M?QUINAS E EQUIPAMENTOS","indice","M","01/04/1986","12/01/2015","FGV|IBRE"
"39","ST_162100","142 - REFEI??O PRONTA NO LOCAL DE TRABALHO","indice","M","01/04/1986","12/01/2015","FGV|IBRE"
"40","ST_162372","201 - AJUDANTE ESPECIALIZADO","indice","M","01/04/1986","12/01/2015","FGV|IBRE"
"41","ST_200045","A0200045 - ?ndice Geral de Pre?os do Mercado - IGP-M ","indice","M","01/06/1989","04/01/2016","FGV|IBRE"
"42","ST_200053","???Ipa?-?todos?os?itens ","indice","M","01/06/1989","04/01/2016","FGV|IBRE"
"43","ST_200071","1 - INCC - TODOS OS ITENS","indice","M","01/06/1989","04/01/2016","FGV|IBRE"
"44","ST_205020","109 - CARRETO PARA RETIRADA DE ENTULHO","indice","M","01/01/1990","12/01/2015","FGV|IBRE"
"45","ST_205438","141 - PROJETOS","indice","M","01/01/1990","12/01/2015","FGV|IBRE"
"46","ST_209425","A209425 - ?ndice Geral de Pre?os - IGP-10","indice","M","01/09/1993","04/01/2016","FGV|IBRE"
"47","ST_209433","???Ipa?-?todos?os?itens ","indice","M","01/09/1993","04/01/2016","FGV|IBRE"
"48","ST_211111","200 - M?O-DE-OBRA","indice","M","01/12/1992","04/01/2016","FGV|IBRE"
"49","ST_211128","100 - MATERIAIS, EQUIPAMENTOS E SERVI?OS","indice","M","01/12/1992","04/01/2016","FGV|IBRE"
"50","ST_1000361","A1000361 - IGP-M - 2? Dec?ndio (%)","indice","M","01/06/1989","04/01/2016","FGV|IBRE"
"51","ST_1000367","A1000367 - IGP-M - Fechamento mensal (%)","indice","M","#N/D","04/01/2016","FGV|IBRE"
"52","ST_1000376","A1000376 - IGP-M - 1? Dec?ndio (%)","indice","M","01/06/1989","04/01/2016","FGV|IBRE"
"53","ST_1001939","IPC-BR - N?cleo da Infla??o (Core Inflation)","indice","M","#N/D","04/01/2016","FGV|IBRE"
"54","ST_1003592","?ndice da Taxa de C?mbio Real - (Real / D?lar (Eua))","indice","M","#N/D","04/01/2016","FGV|IBRE"
"55","ST_1003593","?ndice da Taxa de C?mbio Real - (Real / Iene (Jap?o))","indice","M","#N/D","04/01/2016","FGV|IBRE"
"56","ST_1003594","?ndice da Taxa de C?mbio Real - (Real / Peso (Argentina))","indice","M","#N/D","04/01/2016","FGV|IBRE"
"57","ST_1003595","?ndice da Taxa de C?mbio Real - (Real / Euro (Zona do Euro))","indice","M","#N/D","04/01/2016","FGV|IBRE"
"58","ST_1003596","?ndice da Taxa de C?mbio Real - (Real / Libra (Reino Unido))","indice","M","#N/D","04/01/2016","FGV|IBRE"
"59","ST_1003597","?ndice da Taxa de C?mbio Efetiva Real - (Real / Cesta de Moedas)","indice","M","#N/D","04/01/2016","FGV|IBRE"
"60","ST_1003828","203 - ARMADOR OU FERREIRO","indice","M","01/01/1990","12/01/2015","FGV|IBRE"
"61","ST_1003829","204 - BOMBEIRO","indice","M","01/01/1990","12/01/2015","FGV|IBRE"
"62","ST_1003830","206 - ELETRICISTA","indice","M","01/01/1990","12/01/2015","FGV|IBRE"
"63","ST_1003831","207 - ENCARREGADO","indice","M","01/01/1990","12/01/2015","FGV|IBRE"
"64","ST_1003832","208 - ENGENHEIRO","indice","M","01/01/1990","12/01/2015","FGV|IBRE"
"65","ST_1003834","210 - GESSEIRO","indice","M","01/01/1990","12/01/2015","FGV|IBRE"
"66","ST_1003837","214 - PINTOR","indice","M","01/01/1990","12/01/2015","FGV|IBRE"
"67","ST_1003839","102 - ADUELA E ALIZAR DE MADEIRA","indice","M","01/01/1990","12/01/2015","FGV|IBRE"
"68","ST_1003841","115 - ELETRODUTO DE PVC","indice","M","01/01/1990","12/01/2015","FGV|IBRE"
"69","ST_1003842","121 - GESSO","indice","M","01/01/1990","12/01/2015","FGV|IBRE"
"70","ST_1003843","122 - IMPERMEABILIZANTE","indice","M","01/01/1990","12/01/2015","FGV|IBRE"
"71","ST_1003844","124 - LADRILHOS E PLACAS PARA PISOS","indice","M","01/01/1990","12/01/2015","FGV|IBRE"
"72","ST_1003846","126 - TAXAS DE SERVI?OS E LICENCIAMENTOS","indice","M","01/01/1990","12/01/2015","FGV|IBRE"
"73","ST_1003847","130 - MASSA CORRIDA PARA MADEIRA","indice","M","01/01/1990","12/01/2015","FGV|IBRE"
"74","ST_1003848","131 - MATERIAIS EL?TRICOS","indice","M","01/01/1990","12/01/2015","FGV|IBRE"
"75","ST_1003849","134 - PERNA 3X3/ESTRONCA DE 3?","indice","M","01/01/1990","12/01/2015","FGV|IBRE"
"76","ST_1003852","143 - RODAP? DE MADEIRA","indice","M","01/01/1990","12/01/2015","FGV|IBRE"
"77","ST_1003856","151 - TINTA A ?LEO","indice","M","01/01/1990","12/01/2015","FGV|IBRE"
"78","ST_1003861","160 - MASSA CORRIDA PARA PAREDE - PVA","indice","M","01/01/1996","12/01/2015","FGV|IBRE"
"79","ST_1003862","161 - VALE TRANSPORTE","indice","M","01/01/1996","12/01/2015","FGV|IBRE"
"80","ST_1004781","??????Bens?finais ","indice","M","01/08/1994","04/01/2016","FGV|IBRE"
"81","ST_1004782","?????????Bens?de?consumo ","indice","M","01/08/1994","04/01/2016","FGV|IBRE"
"82","ST_1004790","????????????Alimenta??o ","indice","M","01/08/1994","04/01/2016","FGV|IBRE"
"83","ST_1004791","???????????????Alimentos?in?natura ","indice","M","01/08/1994","04/01/2016","FGV|IBRE"
"84","ST_1004792","???????????????Alimentos?processados ","indice","M","01/08/1994","04/01/2016","FGV|IBRE"
"85","ST_1004793","????????????Combust?veis ","indice","M","01/08/1994","04/01/2016","FGV|IBRE"
"86","ST_1004794","????????????Bens?de?consumo?n?o?dur?veis?exceto?alimenta??o?e?combust?veis ","indice","M","01/08/1994","04/01/2016","FGV|IBRE"
"87","ST_1004796","???????????????Bebidas?e?fumo ","indice","M","01/08/1994","04/01/2016","FGV|IBRE"
"88","ST_1004798","???????????????Vestu?rio,?cal?ados?e?acess?rios ","indice","M","01/08/1994","04/01/2016","FGV|IBRE"
"89","ST_1004800","???????????????Medicamentos?e?artigos?para?resid?ncia,?higiene?e?limpeza ","indice","M","01/08/1994","04/01/2016","FGV|IBRE"
"90","ST_1004802","????????????Bens?de?consumo?dur?veis ","indice","M","01/08/1994","04/01/2016","FGV|IBRE"
"91","ST_1004804","???????????????Utilidades?dom?sticas ","indice","M","01/08/1994","04/01/2016","FGV|IBRE"
"92","ST_1004806","???????????????Ve?culos?e?acess?rios ","indice","M","01/08/1994","04/01/2016","FGV|IBRE"
"93","ST_1004808","?????????Bens?de?investimento ","indice","M","01/08/1994","04/01/2016","FGV|IBRE"
"94","ST_1004810","????????????Ve?culos?pesados ","indice","M","01/08/1994","04/01/2016","FGV|IBRE"
"95","ST_1004812","????????????M?quinas?e?equipamentos ","indice","M","01/08/1994","04/01/2016","FGV|IBRE"
"96","ST_1004814","IPA-EX-DI - Bens Finais exceto Alimentos 'in natura"" e Combust?veis para consumo","indice","M","#N/D","04/01/2016","FGV|IBRE"
"97","ST_1004816","??????Bens?intermedi?rios ","indice","M","01/08/1994","04/01/2016","FGV|IBRE"
"98","ST_1004818","?????????Materiais?e?componentes?para?a?manufatura ","indice","M","01/08/1994","04/01/2016","FGV|IBRE"
"99","ST_1004819","?????????Materiais?e?componentes?para?a?constru??o ","indice","M","01/08/1994","04/01/2016","FGV|IBRE"
"100","ST_1004820","?????????Combust?veis?e?lubrificantes?para?a?produ??o ","indice","M","01/08/1994","04/01/2016","FGV|IBRE"
"101","ST_1004821","?????????Embalagens ","indice","M","01/08/1994","04/01/2016","FGV|IBRE"
"102","ST_1004822","?????????Suprimentos ","indice","M","01/08/1994","04/01/2016","FGV|IBRE"
"103","ST_1004827","????????????Suprimentos?agropecu?rios ","indice","M","01/08/1994","04/01/2016","FGV|IBRE"
"104","ST_1004828","????????????Suprimentos?n?o?agropecu?rios ","indice","M","01/08/1994","04/01/2016","FGV|IBRE"
"105","ST_1004829","IPA-EX-DI - Bens Intermedi?rios exceto Combust?veis e Lubrificantes para Produ??o","indice","M","#N/D","04/01/2016","FGV|IBRE"
"106","ST_1004830","??????Mat?rias-primas?brutas ","indice","M","01/08/1994","04/01/2016","FGV|IBRE"
"107","ST_1004831","?????????Mat.?primas?brutas?agropecu?rias ","indice","M","01/08/1994","04/01/2016","FGV|IBRE"
"108","ST_1004832","?????????Minerais ","indice","M","01/08/1994","04/01/2016","FGV|IBRE"
"109","ST_1004833","????????????Mat.?primas?brutas?agropecu?rias?comercializ?veis ","indice","M","01/08/1994","12/01/2015","FGV|IBRE"
"110","ST_1004834","????????????Mat.?primas?brutas?agropecu?rias?-?processamento?industrial?para?fins?alimentares ","indice","M","01/08/1994","12/01/2015","FGV|IBRE"
"111","ST_1004835","????????????Mat.?primas?brutas?agropecu?rias?-?processamento?industrial?para?fins?n?o?alimentares ","indice","M","01/08/1994","12/01/2015","FGV|IBRE"
"112","ST_1004841","10001 - MATERIAIS E EQUIPAMENTOS","indice","M","01/06/1996","04/01/2016","FGV|IBRE"
"113","ST_1004842","1000101 - MATERIAIS PARA ESTRUTURA","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"114","ST_1004843","1000102 - MATERIAIS PARA INSTALA??O","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"115","ST_1004844","1000103 - MATERIAIS PARA ACABAMENTO","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"116","ST_1004845","10002 - SERVI?OS","indice","M","01/06/1996","04/01/2016","FGV|IBRE"
"117","ST_1004846","20003 - M?O-DE-OBRA","indice","M","01/06/1996","04/01/2016","FGV|IBRE"
"118","ST_1004847","100010101 - MATERIAL METALICO","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"119","ST_1004848","100010102 - MATERIAL DE MADEIRA","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"120","ST_1004849","100010103 - MATERIAL ? BASE DE MINERAIS N?O MET?LICOS","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"121","ST_1004851","100010201 - INSTALA??O HIDR?ULICA","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"122","ST_1004852","100010202 - INSTALA??O EL?TRICA","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"123","ST_1004853","100010301 - REVESTIMENTOS, LOU?AS E PISOS","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"124","ST_1004854","100010302 - ESQUADRIAS E FERRAGENS","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"125","ST_1004855","100010304 - MATERIAL PARA PINTURA","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"126","ST_1004856","100010305 - MADEIRA PARA ACABAMENTO","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"127","ST_1004858","1000201 - ALUGU?IS E TAXAS","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"128","ST_1004859","1000202 - SERVI?OS PESSOAIS","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"129","ST_1004860","2000101 - AUXILIAR","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"130","ST_1004861","2000102 - T?CNICO","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"131","ST_1004862","2000103 - ESPECIALIZADO","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"132","ST_1004864","1 - INCC - TODOS OS ITENS","indice","M","01/06/1996","04/01/2016","FGV|IBRE"
"133","ST_1004865","10001 - MATERIAIS E EQUIPAMENTOS","indice","M","01/06/1996","04/01/2016","FGV|IBRE"
"134","ST_1004866","1000101 - MATERIAIS PARA ESTRUTURA","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"135","ST_1004867","100010101 - MATERIAL METALICO","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"136","ST_1004868","100010102 - MATERIAL DE MADEIRA","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"137","ST_1004869","100010103 - MATERIAL ? BASE DE MINERAIS N?O MET?LICOS","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"138","ST_1004871","1000102 - MATERIAIS PARA INSTALA??O","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"139","ST_1004872","100010201 - INSTALA??O HIDR?ULICA","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"140","ST_1004873","100010202 - INSTALA??O EL?TRICA","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"141","ST_1004874","1000103 - MATERIAIS PARA ACABAMENTO","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"142","ST_1004875","100010301 - REVESTIMENTOS, LOU?AS E PISOS","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"143","ST_1004876","100010302 - ESQUADRIAS E FERRAGENS","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"144","ST_1004877","100010304 - MATERIAL PARA PINTURA","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"145","ST_1004878","100010305 - MADEIRA PARA ACABAMENTO","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"146","ST_1004880","10002 - SERVI?OS","indice","M","01/06/1996","04/01/2016","FGV|IBRE"
"147","ST_1004881","1000201 - ALUGU?IS E TAXAS","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"148","ST_1004882","1000202 - SERVI?OS PESSOAIS","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"149","ST_1004883","20003 - M?O-DE-OBRA","indice","M","01/06/1996","04/01/2016","FGV|IBRE"
"150","ST_1004884","2000101 - AUXILIAR","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"151","ST_1004885","2000102 - T?CNICO","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"152","ST_1004886","2000103 - ESPECIALIZADO","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"153","ST_1004888","1 - INCC - TODOS OS ITENS","indice","M","01/06/1996","04/01/2016","FGV|IBRE"
"154","ST_1004889","10001 - MATERIAIS E EQUIPAMENTOS","indice","M","01/06/1996","04/01/2016","FGV|IBRE"
"155","ST_1004890","10002 - SERVI?OS","indice","M","01/06/1996","04/01/2016","FGV|IBRE"
"156","ST_1004894","20003 - M?O-DE-OBRA","indice","M","01/06/1996","04/01/2016","FGV|IBRE"
"157","ST_1004896","1000101 - MATERIAIS PARA ESTRUTURA","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"158","ST_1004897","1000102 - MATERIAIS PARA INSTALA??O","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"159","ST_1004898","1000103 - MATERIAIS PARA ACABAMENTO","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"160","ST_1004899","100010101 - MATERIAL METALICO","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"161","ST_1004900","100010102 - MATERIAL DE MADEIRA","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"162","ST_1004901","100010103 - MATERIAL ? BASE DE MINERAIS N?O MET?LICOS","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"163","ST_1004903","100010201 - INSTALA??O HIDR?ULICA","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"164","ST_1004904","100010202 - INSTALA??O EL?TRICA","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"165","ST_1004905","100010301 - REVESTIMENTOS, LOU?AS E PISOS","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"166","ST_1004906","100010302 - ESQUADRIAS E FERRAGENS","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"167","ST_1004907","100010304 - MATERIAL PARA PINTURA","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"168","ST_1004909","100010305 - MADEIRA PARA ACABAMENTO","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"169","ST_1004910","1000201 - ALUGU?IS E TAXAS","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"170","ST_1004911","1000202 - SERVI?OS PESSOAIS","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"171","ST_1004912","2000101 - AUXILIAR","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"172","ST_1004913","2000102 - T?CNICO","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"173","ST_1004914","2000103 - ESPECIALIZADO","indice","M","01/06/1996","12/01/2015","FGV|IBRE"
"174","ST_1004927","?ndice de Pre?os ao Consumidor da Terceira Idade (IPC-3i)","indice","M","#N/D","04/01/2016","FGV|IBRE"
"175","ST_1004928","?ndice de Pre?os ao Consumidor da Terceira Idade - Alimenta??o","indice","M","#N/D","04/01/2016","FGV|IBRE"
"176","ST_1004929","?ndice de Pre?os ao Consumidor da Terceira Idade - Habita??o","indice","M","#N/D","04/01/2016","FGV|IBRE"
"177","ST_1004930","?ndice de Pre?os ao Consumidor da Terceira Idade - Vestu?rio","indice","M","#N/D","04/01/2016","FGV|IBRE"
"178","ST_1004931","?ndice de Pre?os ao Consumidor da Terceira Idade - Sa?de e Cuidados Pessoais","indice","M","#N/D","04/01/2016","FGV|IBRE"
"179","ST_1004932","?ndice de Pre?os ao Consumidor da Terceira Idade - Educa??o","indice","M","#N/D","04/01/2016","FGV|IBRE"
"180","ST_1004933","?ndice de Pre?os ao Consumidor da Terceira Idade - Transportes","indice","M","#N/D","04/01/2016","FGV|IBRE"
"181","ST_1004934","?ndice de Pre?os ao Consumidor da Terceira Idade - Despesas Diversas","indice","M","#N/D","04/01/2016","FGV|IBRE"
"182","ST_1004935","?ndice de Confian?a do Consumidor","indice","M","01/09/2005","04/01/2016","FGV|IBRE"
"183","ST_1004936","?ndice de Confian?a do Consumidor - Situa??o Presente","indice","M","01/09/2005","04/01/2016","FGV|IBRE"
"184","ST_1004937","?ndice de Confian?a do Consumidor - Expectativas","indice","M","01/09/2005","04/01/2016","FGV|IBRE"
"185","ST_1004968","ICI Sem Ajuste Sazonal - ?ndice de Confian?a da Ind?stria (Classifica??o 1985) ","indice","M","01/04/1995","04/01/2016","FGV|IBRE"
"186","ST_1004969","ISA Sem Ajuste Sazonal - ?ndice de Confian?a da Ind?stria - Situa??o Atual (Classifica??o 1985)","indice","M","01/04/1995","04/01/2016","FGV|IBRE"
"187","ST_1004970","IE Sem Ajuste Sazonal - ?ndice de Confian?a da Ind?stria - Expectativas (Classifica??o de 1985)","indice","M","01/04/1995","04/01/2016","FGV|IBRE"
"188","ST_1004971","ICI Com Ajuste Sazonal - ?ndice de Confian?a da Ind?stria (Classifica??o de 1985)","indice","M","01/04/1995","04/01/2016","FGV|IBRE"
"189","ST_1004972","ISA Com Ajuste Sazonal - ?ndice de Confian?a da Ind?stria - Situa??o Atual (Classifica??o de 1985)","indice","M","01/04/1995","04/01/2016","FGV|IBRE"
"190","ST_1004973","IE Com Ajuste Sazonal - ?ndice de Confian?a da Ind?stria - Expectativas (Classifica??o de 1985)","indice","M","01/04/1995","04/01/2016","FGV|IBRE"
"191","ST_1005040","Sondagem Industrial - N?vel de Utiliza??o da Capacidade Instalada Sem Ajuste Sazonal (Classif.1985)","indice","M","01/01/1980","04/01/2016","FGV|IBRE"
"192","ST_1006802","??????Produtos?agropecu?rios ","indice","M","01/07/1969","04/01/2016","FGV|IBRE"
"193","ST_1006803","?????????Lavouras?tempor?rias ","indice","M","01/01/1996","04/01/2016","FGV|IBRE"
"194","ST_1006804","?????????Lavouras?permanentes ","indice","M","01/01/1996","04/01/2016","FGV|IBRE"
"195","ST_1006805","?????????Pecu?ria ","indice","M","01/01/1996","04/01/2016","FGV|IBRE"
"196","ST_1006806","??????Produtos?industriais ","indice","M","01/07/1969","04/01/2016","FGV|IBRE"
"197","ST_1006807","?????????Ind?stria?extrativa ","indice","M","01/07/1969","04/01/2016","FGV|IBRE"
"198","ST_1006808","??????Carv?o?mineral ","indice","M","01/01/1996","04/01/2016","FGV|IBRE"
"199","ST_1006809","??????Minerais?met?licos ","indice","M","01/01/1996","04/01/2016","FGV|IBRE"
"200","ST_1006810","??????Minerais?n?o-met?licos ","indice","M","01/01/1996","04/01/2016","FGV|IBRE"
"201","ST_1006811","????Ind?stria?de?transforma??o ","indice","M","01/07/1969","04/01/2016","FGV|IBRE"
"202","ST_1006812","???? ??Produtos?aliment?cios?e?bebidas ","indice","M","01/01/1996","04/01/2016","FGV|IBRE"
"203","ST_1006813","??????Produtos?do?fumo ","indice","M","01/01/1996","04/01/2016","FGV|IBRE"
"204","ST_1006814","??????Produtos?t?xteis ","indice","M","01/01/1996","04/01/2016","FGV|IBRE"
"205","ST_1006815","??????Artigos?do?vestu?rio ","indice","M","01/01/1996","04/01/2016","FGV|IBRE"
"206","ST_1006816","??????Couros?e?cal?ados ","indice","M","01/01/1996","04/01/2016","FGV|IBRE"
"207","ST_1006817","??????Produtos?de?madeira ","indice","M","01/01/1996","04/01/2016","FGV|IBRE"
"208","ST_1006818","??????Celulose,?papel?e?produtos?de?papel ","indice","M","01/01/1996","04/01/2016","FGV|IBRE"
"209","ST_1006819","??????Produtos?derivados?do?petr?leo?e??lcool ","indice","M","01/01/1996","04/01/2016","FGV|IBRE"
"210","ST_1006820","??????Produtos?qu?micos ","indice","M","01/01/1996","04/01/2016","FGV|IBRE"
"211","ST_1006821","??????Artigos?de?borracha?e?de?material?pl?stico ","indice","M","01/01/1996","04/01/2016","FGV|IBRE"
"212","ST_1006822","??????Produtos?de?minerais?n?o-met?licos ","indice","M","01/01/1996","04/01/2016","FGV|IBRE"
"213","ST_1006823","??????Metalurgia?b?sica ","indice","M","01/01/1996","04/01/2016","FGV|IBRE"
"214","ST_1006824","??????Produtos?de?metal ","indice","M","01/01/1996","04/01/2016","FGV|IBRE"
"215","ST_1006825","??????M?quinas?e?equipamentos ","indice","M","01/01/1996","04/01/2016","FGV|IBRE"
"216","ST_1006826","??????Equipamentos?de?inform?tica ","indice","M","01/01/1996","04/01/2016","FGV|IBRE"
"217","ST_1006827","??????M?quinas,?aparelhos?e?materiais?el?tricos ","indice","M","01/01/1996","04/01/2016","FGV|IBRE"
"218","ST_1006828","??????Material?eletr?nico,?aparelhos?e?equipamentos?de?comunica??o ","indice","M","01/01/1996","04/01/2016","FGV|IBRE"
"219","ST_1006829","??????Ve?culos?automotores,?reboques,?carrocerias?e?autope?as ","indice","M","01/01/1996","04/01/2016","FGV|IBRE"
"220","ST_1006830","??????Outros?equipamentos?de?transporte ","indice","M","01/01/1996","04/01/2016","FGV|IBRE"
"221","ST_1006831","??????M?veis?e?artigos?do?mobili?rio ","indice","M","01/01/1996","04/01/2016","FGV|IBRE"
"222","ST_1006970","10000 - MATERIAIS, EQUIPAMENTOS E SERVI?OS","indice","M","01/06/1996","04/01/2016","FGV|IBRE"
"223","ST_1006971","10000 - MATERIAIS, EQUIPAMENTOS E SERVI?OS","indice","M","01/06/1996","04/01/2016","FGV|IBRE"
"224","ST_1006972","10000 - MATERIAIS, EQUIPAMENTOS E SERVI?OS","indice","M","01/06/1996","04/01/2016","FGV|IBRE"
"225","ST_1006982","?ndice de Confian?a do Consumidor com Ajuste Sazonal","indice","M","01/09/2005","04/01/2016","FGV|IBRE"
"226","ST_1006983","?ndice de Confian?a do Consumidor - Situa??o Presente com Ajuste Sazonal","indice","M","01/09/2005","04/01/2016","FGV|IBRE"
